GEO_ID,FIPS,NAME,DP05_0037E,DP05_0038E,DP05_0039E,DP05_0047E,DP05_0055E,DP05_0060E,DP05_0061E,DP05_0037PE,DP05_0038PE,DP05_0039PE,DP05_0047PE,DP05_0055PE,DP05_0060PE,DP05_0061PE
1400000U,06037122121,Census Tract 1221.21; Los Angeles County; California,666,81,9,205,0,839,926,24.4,3,0.3,7.5,0,30.8,34
1400000U,06037122122,Census Tract 1221.22; Los Angeles County; California,476,180,11,34,0,674,1187,18.6,7,0.4,1.3,0,26.3,46.3
1400000U,06037122200,Census Tract 1222; Los Angeles County; California,1000,9,0,72,7,1262,1275,27.6,0.2,0,2,0.2,34.8,35.2
1400000U,06037122410,Census Tract 1224.10; Los Angeles County; California,1032,79,0,252,0,1152,1568,25.3,1.9,0,6.2,0,28.2,38.4
1400000U,06037122420,Census Tract 1224.20; Los Angeles County; California,1103,3,74,172,0,2050,1926,20.7,0.1,1.4,3.2,0,38.5,36.1
1400000U,06037123010,Census Tract 1230.10; Los Angeles County; California,1013,32,8,85,95,1345,1250,26.5,0.8,0.2,2.2,2.5,35.1,32.7
1400000U,06037123020,Census Tract 1230.20; Los Angeles County; California,915,44,27,145,0,787,886,32.6,1.6,1,5.2,0,28.1,31.6
1400000U,06037123103,Census Tract 1231.03; Los Angeles County; California,1635,149,216,184,0,1126,583,42,3.8,5.5,4.7,0,28.9,15
1400000U,06037123104,Census Tract 1231.04; Los Angeles County; California,1989,247,39,522,0,1398,505,42.3,5.3,0.8,11.1,0,29.7,10.7
1400000U,06037123203,Census Tract 1232.03; Los Angeles County; California,1030,69,91,193,0,803,740,35.2,2.4,3.1,6.6,0,27.4,25.3
1400000U,06037123204,Census Tract 1232.04; Los Angeles County; California,1285,81,46,170,0,1015,736,38.6,2.4,1.4,5.1,0,30.5,22.1
1400000U,06037123205,Census Tract 1232.05; Los Angeles County; California,956,39,38,66,0,748,987,33.7,1.4,1.3,2.3,0,26.4,34.8
1400000U,06037123206,Census Tract 1232.06; Los Angeles County; California,675,28,49,19,0,982,717,27.3,1.1,2,0.8,0,39.8,29
1400000U,06037123301,Census Tract 1233.01; Los Angeles County; California,1542,221,10,867,0,629,687,39,5.6,0.3,21.9,0,15.9,17.4
1400000U,06037123303,Census Tract 1233.03; Los Angeles County; California,1384,85,16,106,13,808,430,48.7,3,0.6,3.7,0.5,28.4,15.1
1400000U,06037123304,Census Tract 1233.04; Los Angeles County; California,2565,107,7,231,0,978,547,57.8,2.4,0.2,5.2,0,22.1,12.3
1400000U,06037123410,Census Tract 1234.10; Los Angeles County; California,1527,32,0,228,0,1305,377,44,0.9,0,6.6,0,37.6,10.9
1400000U,06037123420,Census Tract 1234.20; Los Angeles County; California,2475,122,16,221,0,1129,490,55.6,2.7,0.4,5,0,25.4,11
1400000U,06037123510,Census Tract 1235.10; Los Angeles County; California,2693,88,25,568,0,870,408,57.9,1.9,0.5,12.2,0,18.7,8.8
1400000U,06037123520,Census Tract 1235.20; Los Angeles County; California,1114,54,7,105,0,605,603,44.8,2.2,0.3,4.2,0,24.3,24.2
1400000U,06037123601,Census Tract 1236.01; Los Angeles County; California,3025,159,0,200,0,933,1181,55,2.9,0,3.6,0,17,21.5
1400000U,06037123602,Census Tract 1236.02; Los Angeles County; California,1831,100,0,120,0,427,621,59.1,3.2,0,3.9,0,13.8,20
1400000U,06037123700,Census Tract 1237; Los Angeles County; California,2119,564,22,169,0,231,722,55.4,14.7,0.6,4.4,0,6,18.9
