GEO_ID,FIPS,Total population
1400000U,6037127606,3218
1400000U,6037127711,3231
1400000U,6037127712,4047
1400000U,6037127803,5002
1400000U,6037127804,4433
1400000U,6037127805,3514
1400000U,6037127806,3729
1400000U,6037127910,5072
1400000U,6037127920,4385
1400000U,6037128101,2823
1400000U,6037128102,4892
1400000U,6037128210,5000
1400000U,6037128220,2992
1400000U,6037128302,4559
1400000U,6037128303,3432
1400000U,6037128400,4274
1400000U,6037128500,4401
1400000U,6037128601,4842
1400000U,6037128602,2687
1400000U,6037128703,3576
1400000U,6037128704,2328
1400000U,6037128801,3864
1400000U,6037128802,4317
1400000U,6037128910,4528
1400000U,6037131021,3237
1400000U,6037131022,2877
1400000U,6037131023,2655
1400000U,6037131024,3894
1400000U,6037131100,3017
1400000U,6037131200,3681
1400000U,6037131300,4316
1400000U,6037131400,5895
1400000U,6037131600,4942
1400000U,6037131701,4877
1400000U,6037131702,3669
1400000U,6037131801,2879
1400000U,6037131802,2337
1400000U,6037131900,3959
1400000U,6037132001,2714
1400000U,6037132002,3585
1400000U,6037132101,4113
1400000U,6037132102,4993
1400000U,6037132301,3616
1400000U,6037132302,3176
1400000U,6037132501,4658
1400000U,6037132502,3398
1400000U,6037132700,4922
1400000U,6037132900,3877
1400000U,6037133000,4096
1400000U,6037133101,1709
1400000U,6037133102,3926
1400000U,6037134001,3457
1400000U,6037134002,4024
1400000U,6037134101,4660
1400000U,6037134103,4172
1400000U,6037134104,4076
1400000U,6037134201,4062
1400000U,6037134302,4411
1400000U,6037134303,5455
1400000U,6037134304,2863
1400000U,6037134305,3693
1400000U,6037134306,3699
1400000U,6037134421,4401
1400000U,6037134422,5079
1400000U,6037134423,3417
1400000U,6037134424,2835
1400000U,6037134520,5178
1400000U,6037134521,2736
1400000U,6037134522,4521
1400000U,6037134710,5304
1400000U,6037134720,5545
1400000U,6037134801,2951
1400000U,6037134802,3123
1400000U,6037134901,2469
1400000U,6037134904,4866
1400000U,6037134905,6046
1400000U,6037134906,2933
1400000U,6037134907,3854
1400000U,6037135102,3848
1400000U,6037135111,3807
1400000U,6037135113,2980
1400000U,6037135115,3921
1400000U,6037135116,1507
1400000U,6037135201,2999
1400000U,6037135202,4745
1400000U,6037135204,4665
1400000U,6037135205,1874
1400000U,6037137000,4823
1400000U,6037137103,5100
1400000U,6037137104,2233
1400000U,6037137202,3368
1400000U,6037137203,2595
1400000U,6037137301,2182
1400000U,6037137302,4564
1400000U,6037137401,4673
1400000U,6037137402,5905
1400000U,6037137501,5495
1400000U,6037137502,4582
1400000U,6037137504,1889
1400000U,6037138000,4777
1400000U,6037139001,5515
1400000U,6037139200,5758
1400000U,6037139301,4137
1400000U,6037139302,5001
1400000U,6037139303,4807
1400000U,6037139401,2431
1400000U,6037139402,2834
1400000U,6037139502,3315
1400000U,6037139504,3764
1400000U,6037139505,2512
1400000U,6037139506,3109
1400000U,6037139600,5164
1400000U,6037139701,5635
1400000U,6037139703,2554
1400000U,6037139704,2871
1400000U,6037139705,4011
1400000U,6037139801,3514
1400000U,6037139802,3832
1400000U,6037141101,4691
1400000U,6037141102,2959
1400000U,6037141201,3954
1400000U,6037141202,3111
1400000U,6037141303,3055
1400000U,6037141304,2947
1400000U,6037141305,2913
1400000U,6037141306,3222
1400000U,6037141400,5021
1400000U,6037141500,2887
1400000U,6037141600,4035
1400000U,6037141700,3086
1400000U,6037143101,2216
1400000U,6037143102,2174
1400000U,6037143200,4215
1400000U,6037143301,3273
1400000U,6037143302,3301
1400000U,6037143401,5300
1400000U,6037143402,1959
1400000U,6037143500,5325
1400000U,6037143602,4816
1400000U,6037143603,2452
1400000U,6037143605,1899
1400000U,6037143606,1759
1400000U,6037143700,3380
1400000U,6037143801,3201
1400000U,6037143802,2273
1400000U,6037143901,4055
1400000U,6037143902,3167
1400000U,6037181000,5588
1400000U,6037181300,4053
1400000U,6037181400,4463
1400000U,6037181500,4014
1400000U,6037181600,4208
1400000U,6037183101,2962
1400000U,6037183103,4424
1400000U,6037183104,1940
1400000U,6037183220,2954
1400000U,6037183221,3192
1400000U,6037183222,3459
1400000U,6037183300,3140
1400000U,6037183401,2592
1400000U,6037183402,3175
1400000U,6037183510,2432
1400000U,6037183520,3492
1400000U,6037183610,2826
1400000U,6037183620,3067
1400000U,6037183701,3445
1400000U,6037183702,3007
1400000U,6037183810,4139
1400000U,6037183820,3573
1400000U,6037185101,2408
1400000U,6037185102,3503
1400000U,6037185202,4099
1400000U,6037185203,2497
1400000U,6037185204,1888
1400000U,6037185310,2871
1400000U,6037185320,2871
1400000U,6037186100,4633
1400000U,6037186201,3374
1400000U,6037186202,1808
1400000U,6037186203,2753
1400000U,6037186301,2729
1400000U,6037186302,4719
1400000U,6037186401,2948
1400000U,6037186403,2533
1400000U,6037186404,2528
1400000U,6037187101,3114
1400000U,6037187102,4494
1400000U,6037187200,2908
1400000U,6037187300,3820
1400000U,6037188100,3756
1400000U,6037188201,2839
1400000U,6037188202,3043
1400000U,6037188300,3228
1400000U,6037189101,2461
1400000U,6037189102,3797
1400000U,6037189201,2779
1400000U,6037189202,3167
1400000U,6037189300,2754
1400000U,6037189400,3011
1400000U,6037189501,2214
1400000U,6037189502,1842
1400000U,6037189600,3658
1400000U,6037189702,2393
1400000U,6037189703,1993
1400000U,6037189704,2099
1400000U,6037189801,2192
1400000U,6037189802,1979
1400000U,6037189903,2191
1400000U,6037189904,2432
1400000U,6037189905,2421
1400000U,6037189906,2491
1400000U,6037189907,2543
1400000U,6037190101,1599
1400000U,6037190102,2249
1400000U,6037190201,3673
1400000U,6037190202,2720
1400000U,6037190302,2711
1400000U,6037190303,2544
1400000U,6037190401,2784
1400000U,6037190402,2419
1400000U,6037190510,3884
1400000U,6037190520,3462
1400000U,6037190701,1643
1400000U,6037190702,1412
1400000U,6037190801,3073
1400000U,6037190802,2973
1400000U,6037190901,3420
1400000U,6037190902,3925
1400000U,6037191000,5335
1400000U,6037191110,3808
1400000U,6037191120,3776
1400000U,6037191201,5722
1400000U,6037191203,2010
1400000U,6037191204,1532
1400000U,6037191301,2077
1400000U,6037191302,1825
1400000U,6037191410,3363
1400000U,6037191420,3065
1400000U,6037191500,5491
1400000U,6037191610,3653
1400000U,6037191620,2773
1400000U,6037191710,2569
1400000U,6037191720,3408
1400000U,6037191810,2780
1400000U,6037191820,3777
1400000U,6037191901,4309
1400000U,6037191902,2813
1400000U,6037192001,2167
1400000U,6037192002,2611
1400000U,6037192300,2642
1400000U,6037192410,4285
1400000U,6037192420,3360
1400000U,6037192510,3991
1400000U,6037192520,4884
1400000U,6037192610,4106
1400000U,6037192620,3362
1400000U,6037192700,3070
1400000U,6037194101,3273
1400000U,6037194102,2504
1400000U,6037194200,3378
1400000U,6037194300,2887
1400000U,6037194401,2613
1400000U,6037194402,3071
1400000U,6037194500,2116
1400000U,6037195100,4976
1400000U,6037195201,2813
1400000U,6037195202,3349
1400000U,6037195300,2976
1400000U,6037195400,4348
1400000U,6037195500,5138
1400000U,6037195600,2821
1400000U,6037195710,4274
1400000U,6037195720,1694
1400000U,6037195802,2865
1400000U,6037195803,2328
1400000U,6037195804,2555
1400000U,6037195901,2566
1400000U,6037195902,1847
1400000U,6037195903,1970
1400000U,6037197200,3639
1400000U,6037197300,3734
1400000U,6037197410,3805
1400000U,6037197420,3621
1400000U,6037197500,3992
1400000U,6037197600,2080
1400000U,6037197700,4780
1400000U,6037199001,2307
1400000U,6037199002,2866
1400000U,6037199110,2369
1400000U,6037199120,3704
1400000U,6037199201,3592
1400000U,6037199202,2450
1400000U,6037199300,3839
1400000U,6037199400,4373
1400000U,6037199700,2936
1400000U,6037199801,3842
1400000U,6037199802,1975
1400000U,6037199900,2295
1400000U,6037201110,2279
1400000U,6037201120,3843
1400000U,6037201200,2677
1400000U,6037201301,3403
1400000U,6037201302,4083
1400000U,6037201401,4177
1400000U,6037201402,4113
1400000U,6037201501,5468
1400000U,6037201503,3133
1400000U,6037201504,2063
1400000U,6037201601,2310
1400000U,6037201602,2766
1400000U,6037201700,5128
1400000U,6037203100,4302
1400000U,6037203200,4995
1400000U,6037203300,2105
1400000U,6037203500,2831
1400000U,6037203601,2664
1400000U,6037203602,1964
1400000U,6037203710,3457
1400000U,6037203720,3556
1400000U,6037203800,4817
1400000U,6037203900,2839
1400000U,6037204110,2863
1400000U,6037204120,2480
1400000U,6037204200,3317
1400000U,6037204300,4873
1400000U,6037204410,2467
1400000U,6037204420,3101
1400000U,6037204600,3954
1400000U,6037204700,4524
1400000U,6037204810,4932
1400000U,6037204820,2066
1400000U,6037204910,3356
1400000U,6037204920,2459
1400000U,6037205110,3690
1400000U,6037205120,3409
1400000U,6037206010,3490
1400000U,6037206020,8179
1400000U,6037206050,2290
1400000U,6037206051,1535
1400000U,6037206052,3153
1400000U,6037206053,3057
1400000U,6037206054,2456
1400000U,6037206201,2127
1400000U,6037206202,1711
1400000U,6037206301,1991
1400000U,6037206302,1904
1400000U,6037206303,2430
1400000U,6037207101,3852
1400000U,6037207102,3340
1400000U,6037207103,2112
1400000U,6037207303,2359
1400000U,6037207304,2358
1400000U,6037207305,959
1400000U,6037207306,2225
