GEO_ID,FIPS,NAME,S1903_C03_001E
1400000U,6037111100,Census Tract 1111; Los Angeles County; California,109600
1400000U,6037111201,Census Tract 1112.01; Los Angeles County; California,114489
1400000U,6037111202,Census Tract 1112.02; Los Angeles County; California,109137
1400000U,6037111204,Census Tract 1112.04; Los Angeles County; California,178706
1400000U,6037111205,Census Tract 1112.05; Los Angeles County; California,107028
1400000U,6037111206,Census Tract 1112.06; Los Angeles County; California,148929
1400000U,6037111302,Census Tract 1113.02; Los Angeles County; California,99457
1400000U,6037111303,Census Tract 1113.03; Los Angeles County; California,110469
1400000U,6037111304,Census Tract 1113.04; Los Angeles County; California,53989
1400000U,6037111401,Census Tract 1114.01; Los Angeles County; California,127115
1400000U,6037111402,Census Tract 1114.02; Los Angeles County; California,58650
1400000U,6037113101,Census Tract 1131.01; Los Angeles County; California,129038
1400000U,6037113102,Census Tract 1131.02; Los Angeles County; California,215756
1400000U,6037113211,Census Tract 1132.11; Los Angeles County; California,111806
1400000U,6037113212,Census Tract 1132.12; Los Angeles County; California,88917
1400000U,6037113213,Census Tract 1132.13; Los Angeles County; California,130446
1400000U,6037113231,Census Tract 1132.31; Los Angeles County; California,132981
1400000U,6037113232,Census Tract 1132.32; Los Angeles County; California,150678
1400000U,6037113234,Census Tract 1132.34; Los Angeles County; California,72769
1400000U,6037113235,Census Tract 1132.35; Los Angeles County; California,89744
1400000U,6037113237,Census Tract 1132.37; Los Angeles County; California,142917
1400000U,6037113238,Census Tract 1132.38; Los Angeles County; California,64717
1400000U,6037113239,Census Tract 1132.39; Los Angeles County; California,50625
1400000U,6037113301,Census Tract 1133.01; Los Angeles County; California,127448
1400000U,6037113303,Census Tract 1133.03; Los Angeles County; California,111893
1400000U,6037113322,Census Tract 1133.22; Los Angeles County; California,120364
1400000U,6037113323,Census Tract 1133.23; Los Angeles County; California,97064
1400000U,6037113324,Census Tract 1133.24; Los Angeles County; California,100960
1400000U,6037113423,Census Tract 1134.23; Los Angeles County; California,99000
1400000U,6037113424,Census Tract 1134.24; Los Angeles County; California,113472
1400000U,6037113425,Census Tract 1134.25; Los Angeles County; California,69559
1400000U,6037113426,Census Tract 1134.26; Los Angeles County; California,77070
1400000U,6037113427,Census Tract 1134.27; Los Angeles County; California,62266
1400000U,6037113428,Census Tract 1134.28; Los Angeles County; California,132614
1400000U,6037115101,Census Tract 1151.01; Los Angeles County; California,157829
1400000U,6037115103,Census Tract 1151.03; Los Angeles County; California,-
1400000U,6037115104,Census Tract 1151.04; Los Angeles County; California,86522
1400000U,6037115202,Census Tract 1152.02; Los Angeles County; California,66679
1400000U,6037115203,Census Tract 1152.03; Los Angeles County; California,76121
1400000U,6037115204,Census Tract 1152.04; Los Angeles County; California,100195
1400000U,6037115301,Census Tract 1153.01; Los Angeles County; California,95152
1400000U,6037115302,Census Tract 1153.02; Los Angeles County; California,76250
1400000U,6037115401,Census Tract 1154.01; Los Angeles County; California,62271
1400000U,6037115403,Census Tract 1154.03; Los Angeles County; California,72036
1400000U,6037115404,Census Tract 1154.04; Los Angeles County; California,104286
1400000U,6037117101,Census Tract 1171.01; Los Angeles County; California,110761
1400000U,6037117102,Census Tract 1171.02; Los Angeles County; California,94844
