FIPS,Total population
6037183104,1940
6037183220,2954
6037183221,3192
6037183222,3459
6037183300,3140
6037183401,2592
6037183402,3175
6037183510,2432
6037183520,3492
6037183610,2826
6037183620,3067
6037183701,3445
6037183702,3007
6037183810,4139
6037183820,3573
6037185101,2408
6037185102,3503
6037185202,4099
6037185203,2497
6037185204,1888
6037185310,2871
6037185320,2871
6037186100,4633
6037186201,3374
6037186202,1808
6037186203,2753
6037186301,2729
6037186302,4719
6037186401,2948
6037186403,2533
6037186404,2528
6037187101,3114
6037187102,4494
6037187200,2908
6037187300,3820
6037188100,3756
6037188201,2839
6037188202,3043
6037188300,3228
6037189101,2461
6037189102,3797
6037189201,2779
6037189202,3167
6037189300,2754
6037189400,3011
6037189501,2214
6037189502,1842
6037189600,3658
6037189702,2393
6037189703,1993
6037189704,2099
6037189801,2192
6037189802,1979
6037189903,2191
6037189904,2432
6037189905,2421
6037189906,2491
6037189907,2543
6037190101,1599
6037190102,2249
6037190201,3673
6037190202,2720
6037190302,2711
6037190303,2544
6037190401,2784
6037190402,2419
6037190510,3884
6037190520,3462
6037190701,1643
6037190702,1412
6037190801,3073
6037190802,2973
6037190901,3420
6037190902,3925
6037191000,5335
6037191110,3808
6037191120,3776
6037191201,5722
6037191203,2010
6037191204,1532
6037191301,2077
6037191302,1825
6037191410,3363
6037191420,3065
6037191500,5491
6037191610,3653
6037191620,2773
6037191710,2569
6037191720,3408
6037191810,2780
6037191820,3777
6037191901,4309
6037191902,2813
6037192001,2167
6037192002,2611
6037192300,2642
6037192410,4285
6037192420,3360
6037192510,3991
6037192520,4884
6037192610,4106
6037192620,3362
6037192700,3070
6037194101,3273
6037194102,2504
6037194200,3378
6037194300,2887
6037194401,2613
6037194402,3071
6037194500,2116
6037195100,4976
6037195201,2813
6037195202,3349
6037195300,2976
6037195400,4348
6037195500,5138
6037195600,2821
6037195710,4274
6037195720,1694
6037195802,2865
6037195803,2328
6037195804,2555
6037195901,2566
6037195902,1847
6037195903,1970
6037197200,3639
6037197300,3734
6037197410,3805
6037197420,3621
6037197500,3992
6037197600,2080
6037197700,4780
6037199001,2307
